run,suffix
1,[86029| 100482| 100394| 34723| 124581| 17063| 112056| 56424| 3019| 36710| 118838| 53350| 118668| 121853| 17703| 13268| 64732| 111421| 87297| 141| 74282| 105625| 86057| 59564| 53294]
2,[38535| 114685| 15926| 31081| 33606| 58859| 25462| 29454| 85086| 11120| 70504| 89999| 53501| 67183| 56284| 19506| 52093| 64816| 127286| 123609| 127587| 60441| 45537| 38310| 100212]
3,[95774| 21742| 105982| 119022| 123000| 9892| 27944| 68905| 78261| 38115| 18328| 70699| 56082| 4320| 78439| 9432| 49703| 49208| 110028| 93274| 98476| 80232| 78306| 31960| 33693]
4,[112910| 110094| 115390| 40807| 51039| 37062| 87546| 22161| 122026| 122746| 115151| 102572| 53912| 33183| 66366| 99380| 95548| 74542| 94145| 63529| 81253| 118135| 15413| 22658| 56084]
5,[94497| 54605| 100817| 67750| 56695| 63058| 7310| 54447| 96348| 9904| 117926| 62964| 14965| 78246| 90444| 67474| 89200| 83841| 9513| 24283| 38597| 118934| 91288| 74967| 35523]
6,[81527| 80937| 110486| 88814| 4713| 90509| 30068| 117949| 43072| 586| 40150| 5897| 66067| 127780| 70454| 102870| 60175| 21669| 75183| 119310| 20610| 48030| 31733| 43336| 2777]
7,[43933| 75482| 80433| 89288| 36047| 17328| 47204| 38418| 52705| 11703| 98373| 9297| 56878| 12316| 94306| 9147| 26747| 122309| 114913| 62075| 44378| 4710| 32318| 99760| 69646]
8,[15397| 8629| 126824| 38648| 125654| 102307| 59044| 108058| 96733| 6557| 12735| 120454| 93331| 63420| 81425| 34058| 108980| 91171| 7603| 40969| 87948| 9281| 101091| 74943| 70711]
9,[52093| 34219| 88685| 106442| 4450| 35309| 89013| 20572| 23277| 17385| 56755| 30230| 125029| 127769| 98414| 1053| 110232| 89132| 76064| 35075| 49329| 44948| 100064| 13853| 44897]
10,[10394| 127912| 44000| 76838| 121717| 112893| 62807| 86434| 8331| 117857| 37992| 40434| 20879| 57336| 34066| 65108| 111776| 97958| 23276| 27172| 63357| 124151| 24628| 82472| 39405]
